"title","genre","director","year","duration","gross","budget","cast_facebook_likes","votes","reviews","rating","duration2"
"Glitter","Drama","Vondie Curtis-Hall",2001,104,4273372,22000000,1854,19412,374,2.1,"[100,120)"
"Soul Survivors","Drama","Stephen Carpenter",2001,84,3100650,14000000,417,7277,245,3.9,"[ 63,100)"
"Megiddo: The Omega Code 2","Action","Brian Trenchard-Smith",2001,104,5974653,22000000,4221,2253,129,4.1,"[100,120)"
"On the Line","Comedy","Eric Bross",2001,85,4356743,16000000,2446,3662,125,4.1,"[ 63,100)"
"Jason X","Action","James Isaac",2001,85,12610731,11000000,3050,38985,878,4.4,"[ 63,100)"
"Driven","Action","Renny Harlin",2001,116,32616869,72000000,14780,34435,455,4.5,"[100,120)"
"Freddy Got Fingered","Comedy","Tom Green",2001,87,14249005,15000000,2689,39788,716,4.5,"[ 63,100)"
"The Wash","Comedy","DJ Pooh",2001,93,10097096,4000000,955,5612,65,4.6,"[ 63,100)"
"Corky Romano","Comedy","Rob Pritts",2001,86,23978402,11000000,3850,10966,162,4.6,"[ 63,100)"
"Dr. Dolittle 2","Comedy","Steve Carr",2001,87,112950721,72000000,3287,33884,170,4.6,"[ 63,100)"
"Black Knight","Adventure","Gil Junger",2001,95,33422806,50000000,2643,30771,210,4.8,"[ 63,100)"
"The Animal","Comedy","Luke Greenfield",2001,84,55762229,22000000,1203,47383,207,4.8,"[ 63,100)"
"Ghosts of Mars","Action","John Carpenter",2001,98,8434601,28000000,28867,43006,616,4.9,"[ 63,100)"
"Harvard Man","Comedy","James Toback",2001,99,56007,5500000,6776,3754,96,4.9,"[ 63,100)"
"Say It Isn't So","Comedy","J.B. Rogers",2001,95,5516708,25000000,2413,11375,178,4.9,"[ 63,100)"
"Summer Catch","Comedy","Michael Tollin",2001,108,19693891,34000000,3344,12993,157,4.9,"[100,120)"
"Pootie Tang","Action","Louis C.K.",2001,81,3293258,3000000,2238,11399,162,5.2,"[ 63,100)"
"Texas Rangers","Action","Steve Miner",2001,110,623374,38000000,2120,4757,98,5.2,"[100,120)"
"Cats & Dogs","Action","Lawrence Guterman",2001,87,93375151,60000000,4171,46031,340,5.2,"[ 63,100)"
"Scary Movie 2","Comedy","Keenen Ivory Wayans",2001,83,71277420,45000000,1645,119590,675,5.2,"[ 63,100)"
"Double Take","Action","George Gallo",2001,88,20218,24000000,2557,5431,95,5.3,"[ 63,100)"
"Tomcats","Comedy","Gregory Poirier",2001,95,13558739,11000000,2729,15427,196,5.3,"[ 63,100)"
"Max Keeble's Big Move","Comedy","Tim Hill",2001,91,17292381,12000000,4551,5794,106,5.3,"[ 63,100)"
"See Spot Run","Action","John Whitesell",2001,94,33357476,35000000,4194,7392,104,5.4,"[ 63,100)"
"Spy Kids","Action","Robert Rodriguez",2001,88,112692062,35000000,4499,84325,327,5.4,"[ 63,100)"
"The Jimmy Show","Comedy","Frank Whaley",2001,96,703,1500000,920,480,30,5.4,"[ 63,100)"
"Head Over Heels","Comedy","Mark Waters",2001,86,10397365,14000000,2165,11693,165,5.4,"[ 63,100)"
"Down to Earth","Comedy","Chris Weitz",2001,87,64172251,30000000,2911,19079,183,5.4,"[ 63,100)"
"Exit Wounds","Action","Andrzej Bartkowiak",2001,101,51758599,33000000,5942,27580,339,5.5,"[100,120)"
"Joe Somebody","Comedy","John Pasquin",2001,98,22770864,38000000,2765,8433,140,5.5,"[ 63,100)"
"What's the Worst That Could Happen?","Comedy","Sam Weisman",2001,94,32095318,45000000,3664,12466,148,5.5,"[ 63,100)"
"Bubble Boy","Adventure","Blair Hayes",2001,84,5002310,13000000,18864,25541,228,5.6,"[ 63,100)"
"Angel Eyes","Drama","Luis Mandoki",2001,102,24044532,38000000,1440,19686,286,5.6,"[100,120)"
"Planet of the Apes","Action","Tim Burton",2001,119,180011740,100000000,2776,177725,1598,5.7,"[100,120)"
"Lara Croft: Tomb Raider","Action","Simon West",2001,100,131144183,115000000,12150,157016,1023,5.7,"[100,120)"
"Not Another Teen Movie","Comedy","Joel Gallen",2001,99,37882551,16000000,15369,80305,490,5.7,"[ 63,100)"
"America's Sweethearts","Comedy","Joe Roth",2001,102,93607673,48000000,9176,47573,485,5.7,"[100,120)"
"Novocaine","Comedy","David Atkins",2001,95,2025238,6000000,489,9589,189,5.8,"[ 63,100)"
"Get Over It","Comedy","Tommy O'Haver",2001,87,11560259,22000000,22485,15617,243,5.8,"[ 63,100)"
"3000 Miles to Graceland","Action","Demian Lichtenstein",2001,125,15738632,42000000,14536,38076,512,5.9,"[120,280]"
"The One","Action","James Wong",2001,85,43905746,49000000,32831,77684,392,5.9,"[ 63,100)"
"Jurassic Park III","Action","Joe Johnston",2001,92,181166115,93000000,2574,219501,1434,5.9,"[ 63,100)"
"Joe Dirt","Adventure","Dennie Gordon",2001,91,27087695,17700000,2543,41664,283,5.9,"[ 63,100)"
"Saving Silverman","Comedy","Dennis Dugan",2001,96,19351569,22000000,664,33287,298,5.9,"[ 63,100)"
"Shallow Hal","Comedy","Bobby Farrelly",2001,114,70836296,40000000,2842,109445,535,5.9,"[100,120)"
"Jimmy Neutron: Boy Genius","Action","John A. Davis",2001,82,80920948,30000000,2251,23943,184,6,"[ 63,100)"
"American Outlaws","Action","Les Mayfield",2001,94,13264986,35000000,1668,12077,206,6,"[ 63,100)"
"Never Again","Comedy","Eric Schaeffer",2001,98,295468,500000,24382,709,59,6,"[ 63,100)"
"Antitrust","Action","Peter Howitt",2001,109,10965209,30000000,1297,25558,344,6.1,"[100,120)"
"15 Minutes","Action","John Herzfeld",2001,120,24375436,42000000,33585,42547,416,6.1,"[120,280]"
"Pearl Harbor","Action","Michael Bay",2001,184,198539855,140000000,5401,254111,2190,6.1,"[120,280]"
"The Mexican","Adventure","Gore Verbinski",2001,123,66808615,34000000,43917,87351,469,6.1,"[120,280]"
"Down and Out with the Dolls","Comedy","Kurt Voss",2001,88,58936,1200000,318,91,16,6.1,"[ 63,100)"
"Two Can Play That Game","Comedy","Mark Brown",2001,90,22235901,6000000,2815,4339,71,6.1,"[ 63,100)"
"Someone Like You...","Comedy","Tony Goldwyn",2001,97,27338033,23000000,20798,19709,259,6.1,"[ 63,100)"
"Save the Last Dance","Drama","Thomas Carter",2001,112,91038276,13000000,1307,47876,421,6.1,"[100,120)"
"The Tailor of Panama","Drama","John Boorman",2001,109,13491653,18000000,14995,23728,317,6.1,"[100,120)"
"Osmosis Jones","Action","Bobby Farrelly",2001,95,13596911,70000000,3734,25572,204,6.2,"[ 63,100)"
"How High","Comedy","Jesse Dylan",2001,93,31155435,12000000,6105,42644,136,6.2,"[ 63,100)"
"Legally Blonde","Comedy","Robert Luketic",2001,96,95001351,18000000,4380,131801,711,6.2,"[ 63,100)"
"Heartbreakers","Comedy","David Mirkin",2001,123,40334024,35000000,2912,44168,332,6.2,"[120,280]"
"The Princess Diaries","Comedy","Garry Marshall",2001,111,108244774,37000000,13645,94049,409,6.2,"[100,120)"
"O","Drama","Tim Blake Nelson",2001,95,16017403,5000000,3300,17333,245,6.2,"[ 63,100)"
"Impostor","Drama","Gary Fleder",2001,102,6114237,40000000,2664,19986,290,6.2,"[100,120)"
"Rock Star","Drama","Stephen Herek",2001,105,16991902,57000000,1265,34592,298,6.2,"[100,120)"
"The Mummy Returns","Action","Stephen Sommers",2001,130,202007640,98000000,15972,248045,1092,6.3,"[120,280]"
"The Brothers","Comedy","Gary Hardwick",2001,106,27457409,6000000,6419,3198,95,6.3,"[100,120)"
"Out Cold","Comedy","Brendan Malloy",2001,89,13903262,11000000,4291,14656,127,6.3,"[ 63,100)"
"Hardball","Drama","Brian Robbins",2001,106,40219708,21000000,18630,22649,216,6.3,"[100,120)"
"Behind Enemy Lines","Action","John Moore",2001,106,59068786,40000000,2544,86902,542,6.4,"[100,120)"
"Final Fantasy: The Spirits Within","Action","Hironobu Sakaguchi",2001,106,32131830,137000000,15015,72259,954,6.4,"[100,120)"
"Made","Comedy","Jon Favreau",2001,95,5308707,5000000,5245,15053,246,6.4,"[ 63,100)"
"American Pie 2","Comedy","J.B. Rogers",2001,108,145096820,30000000,7872,200260,573,6.4,"[100,120)"
"Kate & Leopold","Comedy","James Mangold",2001,123,47095453,48000000,22209,64595,441,6.4,"[120,280]"
"Swordfish","Action","Dominic Sena",2001,99,69772969,80000000,25942,155532,709,6.5,"[ 63,100)"
"The Other Side of Heaven","Adventure","Mitch Davis",2001,113,4720371,7000000,11116,3203,112,6.5,"[100,120)"
"Crazy/Beautiful","Drama","John Stockwell",2001,135,16929123,14000000,6214,21406,253,6.5,"[120,280]"
"Rush Hour 2","Action","Brett Ratner",2001,90,226138454,90000000,664,160440,521,6.6,"[ 63,100)"
"Bandits","Comedy","Barry Levinson",2001,123,41523271,80000000,13934,57038,393,6.6,"[120,280]"
"The Fast and the Furious","Action","Rob Cohen",2001,106,144512310,38000000,45327,272223,1175,6.7,"[100,120)"
"American Desi","Comedy","Piyush Dinker Pandya",2001,100,902835,250000,454,1489,49,6.7,"[100,120)"
"Kissing Jessica Stein","Comedy","Charles Herman-Wurmfeld",2001,97,7022940,1000000,1173,14018,300,6.7,"[ 63,100)"
"Sweet November","Drama","Pat O'Connor",2001,119,25178165,40000000,29484,70292,368,6.7,"[100,120)"
"Atlantis: The Lost Empire","Action","Gary Trousdale",2001,95,84037039,120000000,15237,72591,435,6.8,"[ 63,100)"
"The Curse of the Jade Scorpion","Comedy","Woody Allen",2001,103,7496522,26000000,12534,31798,294,6.8,"[100,120)"
"The Shipping News","Drama","Lasse Hallstrom",2001,111,11405825,35000000,19805,28542,327,6.8,"[100,120)"
"The Last Castle","Action","Rod Lurie",2001,131,18208078,60000000,3012,57100,391,6.9,"[120,280]"
"A Knight's Tale","Action","Brian Helgeland",2001,144,56083966,65000000,18761,137003,825,6.9,"[120,280]"
"Lovely & Amazing","Comedy","Nicole Holofcener",2001,91,4186931,250000,1330,6041,156,6.9,"[ 63,100)"
"Jay and Silent Bob Strike Back","Comedy","Kevin Smith",2001,104,30059386,22000000,11632,128593,1048,6.9,"[100,120)"
"Serendipity","Comedy","Peter Chelsom",2001,82,49968653,28000000,37,85423,496,6.9,"[ 63,100)"
"Hearts in Atlantis","Drama","Scott Hicks",2001,101,24185781,31000000,13811,30339,403,6.9,"[100,120)"
"The Majestic","Drama","Frank Darabont",2001,152,27796042,72000000,4310,45031,504,6.9,"[120,280]"
"The Lost Skeleton of Cadavra","Comedy","Larry Blamire",2001,90,110536,40000,284,4117,206,7,"[ 63,100)"
"A.I. Artificial Intelligence","Adventure","Steven Spielberg",2001,146,78616689,100000000,6217,238747,2434,7.1,"[120,280]"
"Super Troopers","Comedy","Jay Chandrasekhar",2001,100,18488314,1200000,2893,76151,433,7.1,"[100,120)"
"Monster's Ball","Drama","Marc Forster",2001,112,31252964,4000000,13707,71495,675,7.1,"[100,120)"
"Thirteen Conversations About One Thing","Drama","Jill Sprecher",2001,104,3287435,4500000,12250,8603,194,7.1,"[100,120)"
"The Believer","Drama","Henry Bean",2001,98,406035,1500000,33441,30314,243,7.2,"[ 63,100)"
"Ghost World","Comedy","Terry Zwigoff",2001,111,6200756,7000000,34106,96129,610,7.4,"[100,120)"
"K-PAX","Drama","Iain Softley",2001,120,50173190,48000000,33615,148490,677,7.4,"[120,280]"
"Life as a House","Drama","Irwin Winkler",2001,125,15561627,18000000,21622,39105,458,7.5,"[120,280]"
"The Royal Tenenbaums","Comedy","Wes Anderson",2001,110,52353636,21000000,14609,209133,1182,7.6,"[100,120)"
"I Am Sam","Drama","Jessie Nelson",2001,132,40270895,22000000,3152,121937,560,7.6,"[120,280]"
"Moulin Rouge!","Drama","Baz Luhrmann",2001,127,57386369,52500000,2601,224013,2528,7.6,"[120,280]"
"Enemy at the Gates","Drama","Jean-Jacques Annaud",2001,131,51396781,68000000,5103,188887,849,7.6,"[120,280]"
"Black Hawk Down","Drama","Ridley Scott",2001,152,108638745,92000000,4270,292022,1303,7.7,"[120,280]"
"Hedwig and the Angry Inch","Comedy","John Cameron Mitchell",2001,95,3029081,6000000,993,26300,339,7.8,"[ 63,100)"
"Shrek","Adventure","Andrew Adamson",2001,90,267652016,60000000,275,467113,1157,7.9,"[ 63,100)"
"Monsters, Inc.","Adventure","Pete Docter",2001,92,289907418,115000000,15013,585659,843,8.1,"[ 63,100)"
"Donnie Darko","Drama","Richard Kelly",2001,133,727883,4500000,17040,580999,2393,8.1,"[120,280]"
"Rollerball","Action","John McTiernan",2002,98,18990542,70000000,2763,22264,440,3,"[ 63,100)"
"Crossroads","Comedy","Tamra Davis",2002,93,37188667,12000000,1531,34219,689,3.3,"[ 63,100)"
"The Master of Disguise","Comedy","Perry Andelin Blake",2002,80,40363530,16000000,3058,18254,363,3.3,"[ 63,100)"
"Ballistic: Ecks vs. Sever","Action","Wych Kaosayananda",2002,91,14294842,70000000,1846,16761,369,3.6,"[ 63,100)"
"The Adventures of Pluto Nash","Action","Ron Underwood",2002,95,4411102,100000000,6161,20295,230,3.8,"[ 63,100)"
"The Country Bears","Comedy","Peter Hastings",2002,88,16988996,35000000,8189,3875,118,4,"[ 63,100)"
"Halloween: Resurrection","Comedy","Rick Rosenthal",2002,94,30259652,15000000,5440,26905,765,4.1,"[ 63,100)"
"Juwanna Mann","Comedy","Jesse Vaughan",2002,91,13571817,15600000,3104,5312,72,4.5,"[ 63,100)"
"Full Frontal","Comedy","Steven Soderbergh",2002,101,2506446,2000000,11327,8662,280,4.7,"[100,120)"
"Scooby-Doo","Adventure","Raja Gosnell",2002,86,153288182,84000000,6355,71424,659,4.9,"[ 63,100)"
"Boat Trip","Comedy","Mort Nathan",2002,97,8586376,20000000,3161,26598,195,4.9,"[ 63,100)"
"Abandon","Drama","Stephen Gaghan",2002,99,10719367,25000000,28987,7909,229,4.9,"[ 63,100)"
"Swimfan","Drama","John Polson",2002,85,28563926,8500000,3819,16300,303,5,"[ 63,100)"
"Spy Kids 2: Island of Lost Dreams","Action","Robert Rodriguez",2002,100,85570368,38000000,18291,44885,210,5.1,"[100,120)"
"Stealing Harvard","Comedy","Bruce McCulloch",2002,85,13973532,25000000,3065,11211,144,5.1,"[ 63,100)"
"Like Mike","Comedy","John Schultz",2002,99,51432423,30000000,3679,15074,111,5.1,"[ 63,100)"
"The Sweetest Thing","Comedy","Roger Kumble",2002,90,24430272,43000000,132,46158,502,5.1,"[ 63,100)"
"Maid in Manhattan","Comedy","Wayne Wang",2002,105,93815117,55000000,7184,68417,356,5.1,"[100,120)"
"Clockstoppers","Action","Jonathan Frakes",2002,94,36985501,26000000,3917,11212,163,5.2,"[ 63,100)"
"The Wild Thornberrys Movie","Adventure","Cathy Malkasian",2002,85,39880476,25000000,2908,12218,71,5.2,"[ 63,100)"
"Queen of the Damned","Drama","Michael Rymer",2002,101,30307804,35000000,3001,43991,832,5.2,"[100,120)"
"The Tuxedo","Action","Kevin Donovan",2002,98,50189179,60000000,2018,61966,288,5.3,"[ 63,100)"
"Eight Legged Freaks","Action","Ellory Elkayem",2002,99,17266505,30000000,22554,43764,472,5.4,"[ 63,100)"
"I Spy","Action","Betty Thomas",2002,97,33105600,70000000,1576,41663,246,5.4,"[ 63,100)"
"Big Fat Liar","Adventure","Shawn Levy",2002,88,47811275,15000000,3707,29008,168,5.4,"[ 63,100)"
"Stuart Little 2","Adventure","Rob Minkoff",2002,77,64736114,120000000,2682,36471,140,5.4,"[ 63,100)"
"Sorority Boys","Comedy","Wallace Wolodarsky",2002,93,10198766,12000000,2393,12007,158,5.4,"[ 63,100)"
"The Scorpion King","Action","Chuck Russell",2002,100,90341670,60000000,14611,102129,599,5.5,"[100,120)"
"Collateral Damage","Action","Andrew Davis",2002,108,40048332,85000000,1460,61417,474,5.5,"[100,120)"
"The Santa Clause 2","Comedy","Michael Lembeck",2002,104,139225854,60000000,5265,34561,196,5.5,"[100,120)"
"Deuces Wild","Action","Scott Kalvert",2002,96,6044618,10000000,26961,6200,130,5.6,"[ 63,100)"
"Bad Company","Action","Joel Schumacher",2002,116,30157016,70000000,12993,39659,317,5.6,"[100,120)"
"The Banger Sisters","Comedy","Bob Dolman",2002,98,30306281,10000000,1917,12388,239,5.6,"[ 63,100)"
"40 Days and 40 Nights","Comedy","Michael Lehmann",2002,96,37939782,17000000,3294,62272,347,5.6,"[ 63,100)"
"Time Changer","Drama","Rich Christiano",2002,95,15278,825000,1185,1742,174,5.6,"[ 63,100)"
"Blue Crush","Drama","John Stockwell",2002,104,40118420,30000000,1165,26066,285,5.6,"[100,120)"
"All About the Benjamins","Action","Kevin Bray",2002,95,25482931,14000000,1421,9693,73,5.7,"[ 63,100)"
"Drumline","Comedy","Charles Stone III",2002,118,56398162,20000000,2390,28649,249,5.7,"[100,120)"
"Undercover Brother","Action","Malcolm D. Lee",2002,86,38230435,25000000,3001,29661,260,5.8,"[ 63,100)"
"xXx","Action","Rob Cohen",2002,132,141204016,70000000,14790,142569,928,5.8,"[120,280]"
"Return to Never Land","Adventure","Robin Budd",2002,72,48423368,20000000,3402,13324,159,5.8,"[ 63,100)"
"Friday After Next","Comedy","Marcus Raboy",2002,85,32983713,20000000,3712,19284,92,5.8,"[ 63,100)"
"Life or Something Like It","Comedy","Stephen Herek",2002,103,14448589,40000000,12566,19364,214,5.8,"[100,120)"
"Mr. Deeds","Comedy","Steven Brill",2002,96,126203320,50000000,26826,110432,426,5.8,"[ 63,100)"
"The Time Machine","Action","Simon Wells",2002,96,56684819,80000000,1919,103787,739,5.9,"[ 63,100)"
"Hey Arnold! The Movie","Adventure","Tuck Tucker",2002,76,13684949,3000000,3752,4564,76,5.9,"[ 63,100)"
"The New Guy","Comedy","Ed Decter",2002,92,28972187,13000000,12687,28805,208,5.9,"[ 63,100)"
"Analyze That","Comedy","Harold Ramis",2002,96,32122249,60000000,22889,69319,243,5.9,"[ 63,100)"
"Windtalkers","Action","John Woo",2002,153,40911830,115000000,15046,55994,606,6,"[120,280]"
"Divine Secrets of the Ya-Ya Sisterhood","Drama","Callie Khouri",2002,116,69586544,27000000,3845,15352,292,6,"[100,120)"
"Undisputed","Action","Walter Hill",2002,94,12398628,20000000,2880,21542,152,6.1,"[ 63,100)"
"Men in Black II","Action","Barry Sonnenfeld",2002,88,190418803,140000000,14823,270207,814,6.1,"[ 63,100)"
"Sweet Home Alabama","Comedy","Andy Tennant",2002,108,127214072,38000000,4251,83786,489,6.1,"[100,120)"
"Two Weeks Notice","Comedy","Marc Lawrence",2002,101,93307796,60000000,2636,85673,387,6.1,"[100,120)"
"The Slaughter Rule","Drama","Alex Smith",2002,112,13134,500000,35294,2004,49,6.1,"[100,120)"
"Dragonfly","Drama","Tom Shadyac",2002,104,30063805,60000000,2109,31788,360,6.1,"[100,120)"
"Kung Pow: Enter the Fist","Action","Steve Oedekerk",2002,81,16033556,10000000,361,37901,581,6.2,"[ 63,100)"
"Reign of Fire","Action","Rob Bowman",2002,101,43060566,60000000,53024,107859,707,6.2,"[100,120)"
"Austin Powers in Goldmember","Action","Jay Roach",2002,94,213079163,63000000,2725,162909,989,6.2,"[ 63,100)"
"Barbershop","Comedy","Tim Story",2002,102,75074950,12000000,2754,22147,247,6.3,"[100,120)"
"Hart's War","Drama","Gregory Hoblit",2002,125,19076815,60000000,15916,43651,308,6.3,"[120,280]"
